title,author,newspaper,language,content,published_year,issue_number
Friends stunned by teen's death,Andrew Silva,Anaheim Bulletin,english,"ANAHEIM     Friends and co- workers of Emilio Sandoval were shocked not only that he died, but that the good-natured former Katella High School football player was in a stolen car when it happ""I think they were in the wrong place at the wrong time,"" said Bond Ren, 19, who played football with Sandoval and had known him since they were in elementary school. Sandoval and Raul Rodriguez, 21, were killed Thursday morning when the stolen truck Rodriguez was driving crashed on State College Boulevard. Also injured in the crash were Sandoval's friends John Bowers, 19, and Manny Germinaro. Marco Gonzalez, 17, was treated and released shortly after the pre-dawn crash. A half-dozen former football players gathered at UCI Medical Center Friday afternoon where Bowers was listed in fair condition with bruises to his heart and lung. Germinaro was in fair condition with a broken arm. Only family members were allowed to visit. Bowers' family declined to talk to the press. Sandoval graduated in 1990 and was attending Fullerton College. ""They weren't risk takers,"" said Mark Manley, who also played ball with Sandoval. ""I'm more mad than sad. The way he died     drunk driving in a stolen vehicle. I don't think he knew it was s"" Rafael Becerra was another friend who worked with Sandoval at Albertson's on State College Boulevard and also played football with him. Sandoval, Bowers, Germinaro and Becerra all lived within a mile of each other and spent a lot of time together. ""The way it happened didn't follow at all,"" Becerra said. Though he didn't know Rodriquez well, Becerra said, ""From what I heard, he was a bunch of trouble."" The young men's favorite activity was staging the ""mud bowl"" every time it rained. They would get together for a wild game of very sloppy football. Becerra said one day he broke free during a play and Sandoval yelled, ""Get that wetback,"" and Becerra slipped and fell laughing in the mud. All the young men spoke highly of the three friends. "" I never met him in a bad mood. Emilio was always happy,"" Ren said. They said Germinaro could have the whole team in stitches, but was known as ""Rose Bowl"" because he always played as if it were the Rose Bowl. Bowers also was known for playing hard. ""Seeing any combination of those guys could cheer you up,"" Manley said. ""They were full."" Don Roberts, manager of the store, had the unpleasant task of calling the family after he found out Sandoval had been killed. Sandoval worked day shift the day before the accident and was scheduled to be at work at 10 a.m. Thursday. ""It's not like him to be late so we knew something was wrong,"" Roberts said.",1991, August 2 
"City, Marriott join to offer job training",Terri Vermeulen,Anaheim Bulletin,english,"ANAHEIM-They might pore over financial records work for a high high-powered executive, spend their time in the kitchen or make beds and clean toilets. But each of them will share something in common. They will all be recruits in the city's newest job training program, designed to train lowincome residents for jobs with the Marriott Hotel chain. The six-week program, slated to begin Aug. 26, will include two weeks of unpaid classroom training at the Anaheim Marriott Hotel and four weeks of paid, onthe-job training at Marriott hotels in Orange County. After they complete the program, participants will start their new jobs at Marriott hotels. ""It is not just housekeeping positions,"" said Iris Murray, regional manager for community employment and training for the Marriott Corp. ""They don't realize what goes on in the back of a house in a hotel, how many departments it takes to make the hotel run smoothly."" City and hotel officials said many job seekers have begun to take a second look at hotels and other tourism-related industries since the employment market began drying up. Hospitality now tops the list of growing industries, project supervisor Rita Slayton said. ",1991, August 2 
Park residents still angered by fireworks,Anne M. Peterson,Anaheim Bulletin,english,"ANAHEIM     Patsy Krueger is literally sick of Disneyland's nightly firework "" I got deathly sick over it '' she said. "" I always slept with my window open."" Krueger is one of about 80 resdents at the Anaheim Harbor RV Park who have complained about air and noise pollution from Disneyland's nightly fire- work shows. And they say Disney's response to their complaints isn't enough. Disneyland earlier this week sent claims assessors to the park to advise residents about what they would be paid or reimbursed for damage done to their vehicles by the fireworks. The park residents filed a petition two weeks ago saying the fireworks are a public nuisance because of debris that falls down and damages their vehicles. Although Disneyland stopped using 8-inch shells that pyrotechnicians determined to be the cause of the fallout, the RV park residents are less than satisfied with the response. Bob Izykowski, leader of the petition drive, said the fireworks must stop. He has debris ranging from 3 inches in diameter to about a 6- inch cardboard cylinder that he has picked up in the park and on neighboring Ball Road. Not only has ash collected on his vehicles, but large pieces of cardboard fall down every night. Izykowski said. ""If someone throws a cigarette out of a car, they get in trouble,"" he said. ""But it hasn't changed (because of the claims adjusters). It irritates me. Just because they're Disneyland, it doesn't give them the right to do this every night."" Izykowski said wind during the 9:30 p.m. show blows the debris onto the top of his motorhome. ""It's like burnt charcoal,"" he said. Kama Thulin has lived at the RV park for about two months and said when she arrived with her new truck, ""It didn't have a mark on it. ""The ash falls down like snow every night,"" she said. ""The dew later on at night mixes with it and it creates a chemical reaction."" Izykowski and Thulin said that they still find debris on their vehicles even though the eight-inch shells have been eliminated. ""It's unbelievable,"" Thulin said. ""It still comes down. We're subject to the wind here. I don't know what they think they've done but we want a continuous solution because it's going to be a continuous problem. ""Look at the finish. It was pure as the driven snow,"" Thulin said as she pointed to her truck's paint. ""This crap is falling down on it now and who knows what it's doing?"" ",1991,02-Aug
A costly golf game and other firn,Tim Sosbe,Anaheim Bulletin,english,"This week I received a phone call and a letter, both questioning the legitimacy of the city's budget crisis, or at least the wisdom of our officials. We've spoken often about the crisis, so you know how badly the city leaders say our financial conditions are. In fact, City Manager Jim Ruth met with his managers July 25 and told them to come up with ways to cut budgets. But that's not what caught the attention of the readers. The meeting was early in the day. Afterward, the officials adjourned to the annual golf party with Mouseland folks, this year at Anaheim Hills Country Club. The letter-writer sent me a small article about the golf game. This person wanted to know, understandably, what budget crisis there is? Obviously, the leaders can still afford time off for a round of golf. The caller also thought it seemed strange, and wondered if those who played have given up a day's pay and forked over money for green fees. After all, the caller said, why should taxpayers pay for employees to play golf on city time? ""That's just about the way you feel when you know about something like that transpiring,"" the caller said. ""They meet in time of crisis on fiscal matters and cut everything 25 percent. But, let's go play golf before the day is gone."" The caller also praised Mayor Pro Tem Bill Ehrle, who changed his vote and killed the 4 percent utilities tax. ""He deported himself like a truly effective politician,"" the caller said. ""He realized the vox populi had spoken and as a representative, he represented them Speaking of the 4 percent utilities tax, I received a letter on that also. Ehrle may have been able to kill the tax, with help from councilmen Tom Daly and Irv Pickler, but that doesn't mean we won't be paying more for the same after all. The city's Public Utilities Department, which gives greedy a new meaning, is holding a public hearing on electric rates at 7 p.m. Wednesday in the city council chambers. Yes, it's true. They'll be raising the rates about 4.S percent. The hearing is for people to speak for or against it, and I hope there's a large turnout. Do not, though, think what you say will do anything other than allow you to get it off your chest. The utility budget is built based on this increase, and there's no way they will listen to people who don't want it. How about a demonstration, just to get our feelings known? I suggest we all meet there carrying candles. Anyone interested in joining me should call me Monday at 634-1567. Finally, a non-controversial item. The Ringling Brothers and Barnum & Bailey Circus comes to town with the annual parade at 1 p.m. Monday. The parade starts at the railroad tracks on Lewis Street, near The Bulletin and the Coors plant. It goes to Katella Avenue and heads down to the Convention Center. Among the parade highlights, I'm glad to say, will be me and my friend. Mayor Fred Hunter, riding on elephants. I'll be the one wearing a hat.",1991, August 2 
Israeli Cabinet OKs peace talks,Henry Kamm,Anaheim Bulletin,english,"JERUSALEM     Prime Minister Yitzhak Shamir's Cabinet gave resounding approval on Sunday to his conditional agreement to attend a Middle East peace conference under American and Soviet auspices. Sixteen Cabinet ministers backed the agreement that the prime minister reached on Thursday with U.S. Secretary of State James A. Baker III, but three ministers led by Housing Minister Ariel Sharon voted against Shamir, as they said they would do before the meeting. Israeli government radio reported that the four-hour session was marked by personal argument between the prime minister and Sharon, who are both members of the Likud Party. The hardline housing minister accused his leader of h""fixed"" the outcome with Baker before they met. Shamir responded by charging his rival with being motivated by lust for power. Interviewed after the session, Sharon denounced the government for placing trust in an apparent change of heart by President Hafez Assad of Syria, who in his meeting with Baker reversed Syria's stand against negotiations with Israel. He called Assad a ""tyrant like Saddam Hussein"" and termed his assent to the conference ""a big lie."" Science Minister Yuval Neeman and Minister Without Portfolio Rehavam Zeevi, who represent small parties that reject any compromise with the Arabs over the occupied territories, also voted against the prime minister. In giving his approval to Baker, Shamir said that Israel would attend only if the Palestinian representatives at the conference were not members of the Palestine Liberation Organization or residents of East Jerusalem, which Israel has annexed.",1991, August 2 
Search for Jaycee,Vik Jolly,Anaheim Bulletin,english,"ANAHEIM     Hometown friends, relatives and others turned what was to be a humble rummage sale to raise money to help find a lost girl into a grand fund-ra""This is definitely a swap meet,"" said Becky Bode, who along with her husband Dennis spearheaded the effort to help find 11-year-old daughter Jaycee Lee Dugard, who has been missing since June 10 from South Lake Tahoe. The Bodes, who live in Fullerton, are longtime friends of Jaycee's mother Terry Probyn, a former Anaheim resident. The three graduated from Anaheim High School together. The money raised from the sale was more than twice what the organizers anticipated. When the two-day sale ended Sunday, nearly $12,000 was collected. The organizers hope to use to the money to publicize Jaycee's kidnapping. An estimated 3,000 people picked up sale items ranging from a piano to antique furniture. Unsold items were picked up by the Children's Hospital of Orange County. ""The feeling is that the poster campaignes is going to work. Her face being out there constantly is going to help,"" said Jay Curry, Jaycee's grandfather, who came from Corona for the sale. Relatives and friends in Orange County have mailed nearly 90,000 posters across California. The South Lake Tahoe community, which was the Probyn family's home for less than a year when Jaycee was kidnapped, has mailed more than 200,000 posters across the country. ""It's going to take one person to spot her,"" Becky Bode said. Terry Probyn said she is optimistic that her daughter, who has been gone eight weeks, will be found.",1991, August 2 
"Hunter, Daly face off in mayoral race",Terri Vermeulen,Anaheim Bulletin,english,"Anaheim Mayor Fred Hunter and Mayor Pro Tem Tom Daly will face off in the race for mayor this November, while Councilman William Ehrle will vie along with as many as 13 other candidates for a council seat. Fourteen aspiring candidates had taken out nomination papers to run for the two city council seats Daly and Ehrle now hold. Daly, who has served one fouryear term on the city council, also has taken out papers to run against Hunter for a two-year term as mayor. Hunter already has served four years as mayor. Ehrle, who has served five years as a council member, and Fares Batarseh, an area sales manager, already have filed their nomination papers with the city clerk's office. The field of candidates, including Daly, Hunter and Planning Commissioner Bob Zemel, also have taken out papers to run for council. They must submit the nomination papers, along with 20 residents' signatures, by 5 p.m. Friday. Among the potential candidates are Keith Olesen, a community activist who chaired the city's gang and drug task force; Frank E. Feldhaus Jr., a former city planning commissioner; Frank Turner, a Los Angeles County fire captain; Ed Skinner, the owner of a concrete mixing company and Gregory Ramsay, a health care executive. Community college professor Phil Knypstra, activist Mel Aguilar, law student Todd Kaudy, college student Manuel Ontiveros and bakery manager Donna D'Anella also have taken out papers to run for council. Several of the candidates who are considering running for the council seats already have experience in running for political office. Feldhaus finished fifth when he ran for a city council seat in 1990. Ramsay unsuccessfully ran against Assemblyman Mickey Conroy, R-Orange,for the 46th Assembly District seat last November, while Skinner lost his bid for U.S. Congress in 1976.",1992,06-Aug
Battle over street vendors hits new pitch,Brett Sporich,Anaheim Bulletin,english,"If you've never attended a City Council meeting, watching next Tuesday's meeting at 200 S. Anaheim Blvd. should be better than viewing the popular television shows ""Roseanne"" and ""Full House"" combined. You might call it the ""Battle of the Street Vendors"" or ""Let's Make a Deal."" But whatever you call it, a group of Anaheim property owners are mad as heck and they're not going to take it anymore. During the past two years, since the city loosened restrictions on street vendors and lowered fines, apartment, condominium and home owners.",1992,06-Aug
"Father, four children die in apparent murder-suicide",Vik Jolly,Anaheim Bulletin,english,"ANAHEIM     On the surface, they were an average family. Mom took the children to school, dad worked the yard and on weekends the aroma of barbecue and a friendly family atmosphere filled the air. The neatly trimmed rose bushes in front of the Luongs' home in the 2400 block of Rainbow Avenue     as well as their neighbors    ""It seemed like just such a nice family,"" said Myrtle Ryan, who lives across the street from the Luongs. ""They were very good to their children and had even just bought them bicycles with training wheels.""",1992,06-Aug
"Hunter, Daly face off in mayoral race",Terri Vermeulen,Anaheim Bulletin,english,"Anaheim Mayor Fred Hunter and Mayor Pro Tem Tom Daly will face off in the race for mayor this November, while Councilman William Ehrle will vie along with as many as 13 other candidates for a council seat. Fourteen aspiring candidates had taken out nomination papers to run for the two city council seats Daly and Ehrle now hold. Daly, who has served one fouryear term on the city council, also has taken out papers to run against Hunter for a two-year term as mayor. Hunter already has served four years as mayor. Ehrle, who has served five years as a council member, and Fares Batarseh, an area sales manager, already have filed their nomination papers with the city clerk's office. The field of candidates, including Daly, Hunter and Planning Commissioner Bob Zemel, also have taken out papers to run for council. They must submit the nomination papers, along with 20 residents' signatures, by 5 p.m. Friday. Among the potential candidates are Keith Olesen, a community activist who chaired the city's gang and drug task force; Frank E. Feldhaus Jr., a former city planning commissioner; Frank Turner, a Los Angeles County fire captain; Ed Skinner, the owner of a concrete mixing company and Gregory Ramsay, a health care executive. Community college professor Phil Knypstra, activist Mel Aguilar, law student Todd Kaudy, college student Manuel Ontiveros and bakery manager Donna D'Anella also have taken out papers to run for council. Several of the candidates who are considering running for the council seats already have experience in running for political office. Feldhaus finished fifth when he ran for a city council seat in 1990. Ramsay unsuccessfully ran against Assemblyman Mickey Conroy, R-Orange,for the 46th Assembly District seat last November, while Skinner lost his bid for U.S. Congress in 1976.",1992,06-Aug
Battle over street vendors hits new pitch,Brett Sporich,Anaheim Bulletin,english,"If you've never attended a City Council meeting, watching next Tuesday's meeting at 200 S. Anaheim Blvd. should be better than viewing the popular television shows ""Roseanne"" and ""Full House"" combined. You might call it the ""Battle of the Street Vendors"" or ""Let's Make a Deal."" But whatever you call it, a group of Anaheim property owners are mad as heck and they're not going to take it anymore. During the past two years, since the city loosened restrictions on street vendors and lowered fines, apartment, condominium and home owners.",1992,06-Aug
"Father, four children die in apparent murder-suicide",Vik Jolly,Anaheim Bulletin,english,"ANAHEIM     On the surface, they were an average family. Mom took the children to school, dad worked the yard and on weekends the aroma of barbecue and a friendly family atmosphere filled the air. The neatly trimmed rose bushes in front of the Luongs' home in the 2400 block of Rainbow Avenue     as well as their neighbors    ""It seemed like just such a nice family,"" said Myrtle Ryan, who lives across the street from the Luongs. ""They were very good to their children and had even just bought them bicycles with training wheels.""",1992,06-Aug
"   Competitive    defines Pinewood Derby, club",Brett Sporich,Anaheim Bulletin,english,"In front of the small trailer that is the Anaheim Boys and Girls Club, 10-year-old Liliana Jardon places her sparkling pink-andred, pinewood race car atop a grooved track shared by two other cars and it   s ready- ... s e t ... GO! About 25 children, mostly from Abraham Lincoln Elementary School, cheered for each other at the club   s recent Pinewood Derby     It   s kids coming together through competition and thats really what this race and this club is all about,    Club Counselor Colin Caldwell said. ; * : But it hasn   t been as easy getting local businesses to come together and donate for the children, many of whom would be latch-key kids if it weren   t""This is the only place many of these kids have to go,    Caldwell said.     Their parents work and they   d most likely end up in front of the TV if they couldn   t come here?    Those who oversee the club   s fund raising say i f s a shame a city the size of Anaheim has only one small trailer as the club   s headquarters. Although another club trailer is scheduled for the Little People   s Park at 220 W. Elm St. near downtown, club directors want to establish a central clubhouse with room for a gym and maybe a pool. Talk of renovating a building in the downtown redevelopment area has fizzled with the lagging economy but Mayor Pro Tem Tom Daly has asked redevelopment department officials to research using department money to build a community center next door to the civic center's parking lot. While the club   s board of directors has volunteered many hours and promoted fund-raisers, such as its annual golf tournament, they   re hoping to get more co   said An aheim Fire Chief Jeff Bowman, who is president of the club.     I f ll just take the right person to come along and help Bowman said he is trying to organize businesses that can donate building materials and a labor force that could help either renovate an old building or build a new one. ""The ultimate goal is to have (Hi main center downtown and several satellite sites similar to the one at 1440 E. Lincoln Ave., Bowman said. The club   s race to expand comes at a time when gangs and drugs are springing up throughout the",1992,06-Aug
